date_registration,module_presentation_length,gender,highest_education,age_band,num_of_prev_attempts,studied_credits,disability,final_result,formng_clicks,oucontent_clicks,homepage_clicks,quiz_clicks,subpage_clicks,resource_clicks,url_clicks,ouwiki_clicks,questionnaire_clicks,glossary_clicks,total_click_bc,total_click_ac,total_click,total_assessment_submissions,total_TMA_submissions,total_CMA_submissions,total_Exam_submissions,late_rate
-116,268,0,2,0,0,60,0,1,904,11,181,65,23,12,20,0,0,3,164,1067,1231,11,6,5,0,0.454545455
-10,269,0,1,0,0,60,0,1,1283,3307,1175,1995,686,45,60,54,48,3,71,8642,8713,12,5,7,1,0.083333333
-35,268,1,2,0,0,120,0,1,87,23,183,70,30,23,9,0,0,1,14,411,425,10,6,4,0,0.7
-80,268,1,2,1,1,60,0,1,164,1990,734,1023,340,47,44,70,19,12,194,4311,4505,12,5,7,1,0
-21,240,0,2,0,2,130,0,1,509,1,257,75,99,65,6,0,0,2,141,1014,1014,11,6,5,0,0.454545455
-44,268,1,3,0,0,120,0,1,21,523,207,649,274,27,15,1,13,2,154,1584,1738,12,5,7,1,0.083333333
-61,240,0,2,0,0,120,0,1,213,166,438,615,191,70,40,137,7,16,121,1186,1307,14,6,7,1,0.5
-31,268,0,3,1,0,60,0,1,266,30,281,105,53,16,70,0,0,2,14,808,822,11,6,5,0,0.636363636
-88,262,1,1,0,0,60,0,0,16,104,58,615,6,9,43,10,7,1,39,166,205,5,5,7,1,0
-20,269,1,4,1,0,115,0,1,2055,948,744,184,50,22,104,546,7,53,391,4264,4655,4,4,7,1,0
-61,241,1,2,0,0,60,0,1,988,158,869,615,352,117,50,63,7,3,65,2567,2632,5,4,7,1,0
-22,241,1,2,0,0,60,0,1,10,2,142,1121,110,48,8,0,7,1,18,1435,1453,5,4,4,1,0.8
-93,269,1,0,0,0,60,0,1,152,992,361,1051,278,40,15,42,3,13,193,2719,2912,12,5,7,1,0
-24,261,1,1,0,0,30,0,1,79,439,158,101,32,14,14,128,7,17,37,840,840,8,3,5,1,0
-29,268,0,3,0,0,60,0,1,18,9,87,77,17,11,7,0,0,2,30,196,226,11,6,5,0,0.454545455
-29,240,0,2,0,0,90,0,0,218,1,103,40,18,19,8,0,0,3,69,337,406,4,2,2,0,0.75
-102,268,1,2,0,0,180,0,1,489,371,377,2160,418,54,32,10,12,1,102,3868,3970,11,4,7,1,0.272727273
101,261,1,2,0,2,180,0,1,50,47,36,615,53,7,3,53,7,6,2,143,143,7,6,7,1,0
-49,269,1,2,0,0,60,1,0,24,184,128,425,101,39,6,0,7,1,193,714,907,7,3,3,1,0.571428571
-23,234,0,1,0,0,240,0,1,26,1,48,74,14,5,8,0,0,4,12,164,176,9,4,5,0,0.666666667
-124,269,1,1,0,0,60,0,1,149,778,309,0,101,16,70,0,0,1,64,1363,1427,5,5,0,0,0
-101,269,0,2,1,1,30,1,1,224,426,211,106,32,34,14,128,7,23,44,1012,1056,9,3,6,1,0
-110,241,0,2,0,0,60,0,1,162,1357,364,1345,150,119,13,0,7,1,11,3512,3523,9,4,4,1,0.444444444
-42,262,0,1,0,0,60,0,0,14,27,6,204,63,2,7,0,13,3,19,30,49,5,5,5,0,0
-21,269,0,0,0,0,60,0,1,386,5192,1062,1106,1212,207,108,150,21,3,166,9368,9534,12,5,7,1,0
-95,268,1,1,0,0,120,0,0,66,98,28,130,40,11,1,1,6,3,164,383,383,4,3,1,1,0
-23,269,1,3,1,0,60,0,1,32,576,235,0,110,11,47,0,0,2,102,919,1021,5,5,0,0,0
-45,241,1,3,1,0,90,0,1,1039,119,472,615,688,136,47,115,7,25,33,2636,2669,7,6,7,1,0
-137,261,0,2,0,2,120,0,0,213,7,10,615,23,2,1,35,7,2,37,7,44,4,4,7,1,0.75
-25,241,1,2,0,0,60,1,1,123,2145,388,818,299,36,26,25,25,1,1,3928,3929,12,5,7,1,0.083333333
-57,241,1,2,0,1,90,0,0,4,2,2,615,3,2,25,46,7,5,42,14,14,4,4,7,1,0
-53,240,1,2,0,0,60,0,1,1079,1480,684,1235,580,66,72,51,24,4,610,4738,5348,12,5,7,1,0
-29,240,0,2,1,0,60,0,0,354,80,215,615,265,47,44,140,7,47,27,1135,1162,8,4,4,1,0.5
-89,241,0,1,1,0,60,0,1,562,1903,453,1389,521,46,81,34,8,12,60,4993,5053,12,5,7,1,0
-31,262,0,2,0,0,120,0,1,38,327,92,124,26,41,2,0,3,1,22,635,657,5,5,5,0,0.2
-101,262,0,2,1,0,60,0,1,611,1337,342,110,69,77,3,0,27,124,57,2665,2722,5,5,5,0,0
-28,268,0,2,0,0,30,0,0,43,208,80,201,15,4,16,9,7,53,134,444,578,4,4,7,1,0
-71,268,0,2,0,0,60,0,1,219,21,168,69,48,34,51,0,0,1,20,592,612,10,6,4,0,0.5
-42,268,1,2,0,0,60,0,0,141,156,110,1,88,22,2,4,11,1,65,464,529,3,3,7,1,0.666666667
-41,262,1,2,0,0,90,1,1,432,94,263,615,48,34,1,4,7,1,84,829,913,7,6,7,1,0.428571429
-100,262,1,2,0,0,120,0,0,173,46,47,615,67,26,1,5,7,15,9,195,204,4,4,7,1,0.5
-36,269,0,2,1,0,60,0,1,331,1955,721,793,344,89,43,35,9,2,229,4165,4394,12,5,7,1,0
-15,240,1,2,1,0,75,1,0,573,2380,622,1467,580,108,155,35,28,3,275,5785,6060,12,5,7,1,0
-10,269,0,1,0,0,90,0,0,33,80,57,155,46,52,14,128,7,8,15,253,268,1,1,4,1,1
-86,240,1,2,0,0,60,0,0,221,702,318,221,198,36,26,9,22,1,262,1485,1747,5,4,1,1,0
-125,268,1,2,0,0,60,0,1,342,1366,480,1343,362,49,39,31,33,6,136,3985,4121,12,5,7,1,0
-65,268,1,3,0,0,120,0,0,50,363,260,777,274,61,14,18,9,1,171,1648,1819,11,4,7,1,0.727272727
-24,240,1,1,0,0,60,0,1,999,1900,808,1899,599,40,56,9,16,1,318,6101,6419,12,5,7,1,0
-72,241,1,1,0,0,120,0,1,338,163,551,615,434,130,46,147,7,13,197,1638,1835,7,6,7,1,0.285714286
-65,241,1,1,0,0,60,0,0,51,232,159,113,8,12,18,303,7,53,69,515,584,2,2,7,1,0
-70,269,1,3,0,0,60,0,1,599,4999,997,610,444,36,42,88,35,1,172,7736,7908,12,5,7,1,0
-32,268,0,2,1,1,120,0,1,128,809,277,1363,218,37,20,15,6,3,11,2895,2906,12,5,7,1,0.333333333
-99,261,0,1,0,0,30,0,0,165,26,47,72,8,14,14,128,7,6,109,157,266,1,1,5,1,1
-120,269,1,2,0,0,60,0,0,8,128,59,1718,51,27,5,0,7,1,11,1996,1996,3,2,1,1,0.666666667
-58,269,1,1,1,0,60,0,0,196,444,142,69,150,29,21,18,22,14,146,934,1080,3,3,7,1,0.666666667
-149,269,1,1,0,0,90,0,1,191,419,201,199,42,11,43,154,7,53,35,1260,1260,4,4,7,1,0
-70,262,0,2,0,0,60,0,1,1,41,12,1,3,4,1,0,5,1,15,46,61,5,5,5,0,0
-122,269,1,2,0,0,60,1,1,3396,1082,976,183,50,14,89,631,7,53,327,6104,6431,4,4,7,1,0
-55,240,1,1,0,1,180,0,1,735,2,530,88,111,33,27,0,0,6,112,1420,1532,11,6,5,0,0.545454545
-59,240,1,1,0,0,60,0,0,291,748,282,262,244,23,32,33,12,1,263,1691,1954,3,2,1,1,0.333333333
-67,261,1,1,0,0,30,0,1,35,287,81,106,5,10,14,128,7,1,50,524,524,9,3,6,1,0
-84,262,0,2,0,0,120,0,0,9,686,161,175,28,15,1,0,10,1,33,1088,1088,5,5,5,0,0
-18,269,1,1,0,0,30,0,1,388,315,339,339,190,72,4,0,7,1,25,1633,1658,9,4,4,1,0.444444444
-136,269,1,2,0,1,120,0,1,40,946,316,498,164,61,15,7,9,2,101,1971,2072,12,5,7,1,0
2,268,1,4,0,0,60,0,1,58,498,94,0,59,9,14,0,0,2,53,732,732,5,5,0,0,0.4
-213,241,1,2,1,0,60,1,1,43,5,190,755,111,29,10,0,7,1,69,1086,1155,9,4,4,1,0.444444444
-86,240,0,2,0,0,60,0,0,83,502,181,977,316,30,19,9,22,1,38,2092,2130,12,5,7,1,0.25
-71,269,1,3,0,0,60,0,0,221,1111,339,154,23,19,54,217,7,53,19,2132,2151,4,4,7,1,0.75
-49,268,0,1,0,0,60,0,1,454,77,272,98,29,27,17,0,0,2,14,962,976,10,5,5,0,0.5
-162,268,1,2,1,0,90,0,0,162,575,209,116,15,15,21,52,7,53,116,1171,1171,3,3,7,1,0.333333333
-46,241,1,2,1,0,60,0,1,114,1468,370,895,214,33,17,20,29,1,94,3098,3192,12,5,7,1,0.083333333
-53,268,1,2,0,0,60,0,1,392,1074,307,174,67,18,44,366,7,53,182,2261,2443,4,4,7,1,0
-36,269,0,2,0,0,90,0,1,77,71,236,775,169,53,25,0,7,1,30,1377,1407,9,4,4,1,0.444444444
-149,268,1,1,0,0,60,0,1,337,1648,801,639,441,62,93,50,5,2,350,3783,4133,12,5,7,1,0
-52,240,1,2,0,0,60,0,0,134,535,135,951,187,33,16,16,6,4,3,2021,2024,10,3,7,1,0.8
-37,269,0,1,1,0,30,1,1,137,292,234,80,45,103,14,128,7,1,232,660,892,7,3,4,1,0
-15,241,0,1,0,0,30,0,1,77,361,208,166,34,46,14,128,7,8,1,899,900,9,3,6,1,0
-17,241,1,0,0,0,60,0,1,161,1180,351,690,273,136,24,13,33,1,230,2857,2857,12,5,7,1,0.166666667
-154,262,0,1,1,0,60,1,1,2881,2011,2477,367,138,72,5,0,11,35,689,7349,8038,5,5,5,0,0
-34,240,0,3,0,0,60,0,1,225,2,93,65,18,6,4,0,0,3,6,411,417,11,6,5,0,0.454545455
-191,234,1,1,0,4,120,1,0,32,33,13,12,1,3,2,0,0,5,12,35,47,6,3,3,0,0
-22,241,1,2,1,0,30,0,1,974,37,364,2751,332,148,31,0,7,1,34,4607,4641,5,1,4,1,0.8
-51,234,0,1,0,1,120,0,1,3,6,44,61,8,5,10,0,0,6,9,122,131,9,5,4,0,0.444444444
-60,262,1,2,0,0,150,0,1,86,185,107,615,59,20,1,4,7,7,56,406,462,7,6,7,1,0
-22,240,0,1,0,0,60,0,0,20,3,28,68,41,31,7,0,0,3,1,197,198,11,6,5,0,0.545454545
-95,268,1,1,1,0,60,0,1,118,440,92,0,54,17,1,0,0,1,16,707,723,5,5,0,0,0
-113,268,0,2,1,0,90,0,1,401,2317,419,779,451,69,79,58,38,4,164,4534,4698,12,5,7,1,0.25
-36,268,1,3,1,0,120,0,1,86,1215,178,551,226,23,17,24,9,1,57,2280,2337,12,5,7,1,0.083333333
-93,269,1,3,0,0,120,0,1,112,973,235,872,229,20,27,6,2,1,112,2369,2481,12,5,7,1,0.416666667
-38,268,1,1,0,0,60,0,1,190,1892,299,298,96,111,41,120,7,53,46,3011,3057,4,4,7,1,0.25
-15,268,0,1,0,0,60,0,1,79,1,91,56,11,12,6,0,0,1,17,239,256,8,4,4,0,0.625
-36,240,1,1,0,0,90,0,0,441,255,628,615,113,72,74,95,7,7,68,1691,1759,11,6,4,1,0.363636364
-58,262,1,1,0,0,60,0,1,41,101,63,615,57,15,3,10,7,12,11,299,310,7,6,7,1,0
-34,240,1,1,0,0,60,1,0,126,69,91,615,62,17,32,15,7,27,55,371,426,6,4,2,1,0.833333333
-115,269,1,1,0,1,30,0,1,89,504,237,99,3,5,35,633,7,53,45,1560,1605,4,4,7,1,0.5
-37,262,1,2,0,0,60,0,1,2142,402,1509,615,530,182,65,10,7,101,54,4906,4960,7,6,7,1,0
-24,234,1,3,1,0,60,0,1,115,22,66,66,25,19,6,0,0,2,19,302,321,10,6,4,0,0.5
-32,269,0,2,0,0,210,0,0,2,43,48,268,29,57,5,0,7,1,58,394,452,7,4,3,1,0.857142857
-25,241,1,2,0,1,60,0,0,16,61,75,84,43,6,11,1,4,3,97,204,301,2,1,1,1,0
-123,268,1,1,0,0,90,1,0,435,1795,1,848,356,43,33,49,29,1,223,1,1,12,5,7,1,0
-68,269,1,2,0,0,60,0,1,232,475,270,640,144,49,24,1,19,1,33,1806,1839,12,5,7,1,0
-80,241,1,1,0,0,180,0,0,38,214,128,615,32,17,7,8,7,1,6,442,448,3,3,7,1,0.666666667
-30,269,1,2,1,0,60,0,1,283,53,188,999,126,52,3,0,7,1,76,1641,1717,9,4,4,1,0.444444444
-51,240,0,1,0,1,120,0,0,30,108,156,615,94,41,25,19,7,13,24,471,495,10,6,4,1,0.5
-109,241,1,3,0,0,30,0,1,38,2,132,1215,87,12,5,0,7,1,3,1488,1491,9,4,4,1,0.555555556
-30,262,0,3,0,0,120,0,0,31,20,48,615,30,9,3,1,7,4,4,144,148,2,2,7,1,0
-96,240,1,1,0,0,60,0,1,584,1923,644,1216,490,48,20,14,8,1,867,4150,5017,12,5,7,1,0
-79,269,1,1,0,0,90,1,1,161,872,259,536,175,17,17,20,11,1,57,2017,2074,12,5,7,1,0.166666667
-21,240,1,2,0,0,60,0,1,122,84,156,615,73,45,58,67,7,90,20,595,615,14,6,7,1,0.571428571
-142,262,0,1,0,0,90,0,0,38,142,226,111,20,32,5,0,12,27,43,539,582,5,5,5,0,0
-42,268,0,1,0,0,120,0,0,46,20,18,71,5,3,5,0,0,1,20,58,78,9,5,4,0,0.666666667
-144,268,0,1,1,0,90,0,1,821,5234,1441,1087,898,88,196,113,45,29,260,9828,10088,12,5,7,1,0.083333333
-144,269,1,1,0,0,90,0,1,326,398,631,2060,276,61,19,5,7,1,60,3719,3779,12,5,7,1,0
-74,268,1,1,0,0,60,0,1,3,17,52,70,26,12,6,0,0,8,17,186,186,11,6,5,0,0.454545455
-80,241,0,2,0,0,30,0,0,1044,410,328,113,15,7,14,128,7,2,44,1875,1919,9,3,6,1,0
-51,262,0,1,0,0,60,1,1,6,120,90,4,56,53,2,0,2,1,37,296,333,5,5,5,0,0.4
-24,240,0,4,1,0,60,0,0,38,77,96,615,112,42,35,59,7,14,7,466,473,12,5,7,1,0.583333333
-42,262,1,1,0,0,120,0,0,59,158,85,615,118,56,11,1,7,36,5,527,532,6,5,7,1,0
-60,241,0,2,0,0,60,0,0,118,1226,287,1061,383,130,31,38,3,1,148,3144,3292,12,5,7,1,0
-57,241,1,1,0,1,60,0,0,17,57,43,615,13,7,1,25,7,2,10,154,164,2,2,7,1,0.5
-22,241,1,2,0,1,240,0,1,218,1033,300,1550,268,24,18,3,9,1,37,3415,3415,12,5,7,1,0.583333333
-1,240,0,1,0,1,120,0,0,134,352,1,615,223,81,78,80,7,7,20,1,1,11,5,6,1,0.727272727
-144,268,1,1,0,0,60,0,1,22,492,194,113,15,36,37,72,7,53,13,976,989,3,3,7,1,0.666666667
-17,241,1,2,0,0,30,1,1,192,584,348,158,93,62,14,128,7,9,168,1278,1446,9,3,6,1,0
-50,240,1,1,0,0,60,0,1,259,1164,391,317,261,22,30,68,11,8,130,2422,2552,7,3,4,1,0
-103,269,0,2,1,0,30,0,1,93,362,151,138,12,12,14,128,7,3,10,761,771,8,3,5,1,0.25
-35,268,1,2,0,0,60,0,1,61,412,199,116,72,20,22,258,7,53,10,1152,1162,4,4,7,1,0.25
-116,241,1,2,0,0,60,0,1,288,68,226,615,225,38,9,85,7,246,245,966,1211,7,6,7,1,0
-57,241,0,2,0,0,30,0,0,41,111,45,33,19,17,14,128,7,1,49,218,267,3,2,1,1,0
-113,240,1,3,0,0,90,0,1,436,1191,513,1160,308,21,18,4,4,3,50,3662,3712,12,5,7,1,0.25
-36,240,1,2,0,0,60,0,1,93,1095,331,767,251,33,27,2,17,3,57,2554,2611,12,5,7,1,0
-88,268,0,3,0,0,60,0,1,121,17,24,43,17,15,1,0,0,3,27,221,221,8,5,3,0,0.625
-114,241,0,1,1,1,120,1,0,304,69,403,615,277,75,26,103,7,78,141,1237,1378,5,4,7,1,0.4
-24,261,0,1,1,0,30,0,1,45,352,92,109,8,15,14,128,7,1,50,571,621,9,3,6,1,0
-92,240,0,1,0,0,60,0,0,91,1,20,18,11,10,3,0,0,2,6,154,154,4,3,1,0,0.5
-17,241,1,2,0,0,60,0,1,30,641,130,635,124,15,10,44,3,1,130,1591,1591,12,5,7,1,0.166666667
-53,268,1,2,0,0,60,0,1,189,659,129,780,256,19,19,6,2,1,90,1983,2073,12,5,7,1,0.166666667
-153,240,1,1,0,0,120,0,1,152,287,287,615,209,53,26,31,7,45,20,1068,1088,10,4,5,1,0.5
-109,241,1,2,0,0,60,0,0,69,207,136,615,34,25,63,27,7,9,70,435,505,5,5,7,1,0
-89,241,0,1,0,2,60,0,0,196,24,21,615,42,25,1,79,7,4,103,12,115,7,6,7,1,0.285714286
-61,240,1,1,0,0,120,0,1,397,348,705,615,799,85,108,228,7,6,78,2638,2716,14,6,7,1,0.5
-22,262,1,2,0,0,70,0,1,128,64,102,615,85,74,5,1,7,9,44,423,467,7,6,7,1,0.571428571
-23,269,1,2,0,0,180,1,1,379,1587,511,871,359,28,36,4,3,197,65,3747,3812,12,5,7,1,0.083333333
-85,241,1,2,0,0,60,0,1,3,10,93,314,67,31,5,0,7,1,7,520,527,8,3,4,1,0.625
-24,240,0,2,1,0,60,0,1,864,58,626,615,639,111,167,153,7,7,259,2507,2766,14,6,7,1,0.5
3,269,0,1,1,0,30,0,1,226,572,320,120,148,116,14,128,7,51,5,1553,1553,9,3,6,1,0.111111111
-28,269,1,1,0,0,30,0,1,1,109,54,82,20,11,14,128,7,10,335,277,277,9,3,6,1,0.222222222
-87,269,0,1,0,0,30,0,1,55,53,300,1042,141,54,22,0,7,1,87,1586,1673,8,3,4,1,0.5
-23,269,0,2,0,0,150,0,1,27,3,107,242,19,32,8,0,7,1,8,403,411,8,4,3,1,0.375
-29,241,1,1,0,0,60,0,1,18,43,68,615,44,25,1,42,7,102,29,243,243,1,2,7,1,0
-34,240,0,2,0,0,60,1,1,222,70,279,615,139,56,43,51,7,1,77,858,935,14,6,7,1,0.571428571
-107,269,1,3,0,0,90,0,1,582,3979,847,622,668,44,51,47,31,3,95,6857,6952,12,5,7,1,0
-16,268,0,2,0,0,60,0,1,18,51,6,98,4,3,93,0,0,1,94,31,31,5,5,5,0,0.4
-28,261,1,1,0,0,120,0,1,320,159,308,615,254,37,33,58,7,1,15,1186,1201,7,6,7,1,0
-14,262,1,3,0,0,120,0,1,10,3,51,154,24,9,5,0,6,4,19,79,98,5,5,5,0,0
-56,268,1,3,0,0,90,0,0,18,287,55,122,14,12,4,461,7,53,63,451,514,2,2,7,1,0.5
-89,240,0,3,1,0,60,0,1,1796,262,668,615,501,120,351,132,7,122,188,3734,3922,14,6,7,1,0.5
-129,268,1,2,1,0,30,0,1,267,554,197,142,31,11,52,412,7,53,19,1651,1670,4,4,7,1,0.5
-24,241,0,2,0,0,60,0,1,167,138,112,744,169,26,3,2,43,17,23,1371,1394,12,5,7,1,0
-42,269,0,1,1,0,60,0,1,830,1953,852,925,1046,69,172,23,20,7,95,5919,6014,12,5,7,1,0.166666667
-46,240,0,2,0,0,60,0,0,122,1,48,56,33,22,6,0,0,6,7,281,288,8,4,4,0,0.5
-44,269,0,2,0,0,120,0,1,430,732,573,0,193,32,79,0,0,2,72,1970,2042,5,5,0,0,0.4
-39,268,1,2,0,1,220,0,1,481,677,222,701,164,19,6,3,3,3,193,2091,2284,12,5,7,1,0.083333333
-30,262,0,3,0,0,120,0,1,47,805,340,107,84,77,3,0,18,12,57,1448,1505,5,5,5,0,0.2
-146,241,1,3,1,0,60,0,1,3147,160,843,615,940,247,69,391,7,6,133,5747,5880,7,6,7,1,0
-11,262,0,1,0,1,60,1,1,208,818,265,263,27,83,1,0,15,1,16,1670,1686,5,5,5,0,0.2
-30,268,0,1,0,0,60,0,1,2789,50,1091,105,178,127,29,0,0,1,525,3845,4370,11,6,5,0,0.454545455
-81,262,1,2,0,0,60,0,1,2,316,90,124,9,13,1,0,4,3,12,544,556,5,5,5,0,0.2
-52,269,1,3,1,0,120,0,0,31,135,71,0,31,51,7,0,0,12,76,250,326,1,1,0,0,1
-157,261,1,2,0,0,60,0,1,796,331,733,615,212,60,46,152,7,2,127,2257,2384,7,6,7,1,0
-108,240,1,1,0,1,120,0,0,42,208,60,585,108,13,6,25,42,5,1,437,438,4,4,7,1,0.5
-47,240,1,1,0,0,120,0,0,80,146,48,727,78,13,9,1,22,113,10,366,376,4,4,7,1,0.5
-35,268,1,2,0,0,120,0,1,108,1914,272,747,264,20,21,29,3,1,3,3423,3426,12,5,7,1,0.25
-31,268,0,1,1,0,60,0,0,3,2,9,88,10,3,2,0,0,1,14,29,29,11,6,5,0,0.454545455
-82,241,1,3,0,0,60,0,1,7,4,62,277,49,19,5,0,7,1,3,423,426,9,4,4,1,0.444444444
-46,268,0,2,0,0,60,0,1,255,34,244,78,135,64,16,0,0,21,158,668,826,11,6,5,0,0.454545455
-30,269,1,2,1,0,60,0,1,123,1159,350,0,111,38,53,0,0,1,77,1759,1836,5,5,0,0,0.2
-86,241,1,1,0,0,90,1,0,120,336,149,34,182,16,22,2,9,18,105,743,848,2,2,7,1,0
-32,268,0,1,1,0,60,0,0,73,41,125,148,20,23,22,0,0,2,57,397,454,11,6,5,0,0.454545455
-80,268,0,1,0,0,60,0,1,47,25,79,65,57,33,17,0,0,1,6,323,323,11,6,5,0,0.545454545
-24,240,1,1,1,0,60,0,0,534,259,380,156,166,30,27,12,6,1,923,726,1649,12,5,7,1,0.166666667
-22,241,1,1,0,0,60,0,1,356,1061,160,556,127,10,10,5,11,1,133,2291,2291,12,5,7,1,0.25
-24,241,1,2,1,0,90,0,1,488,105,333,615,271,65,20,132,7,1,61,1374,1435,7,6,7,1,0.285714286
-39,261,1,1,0,1,60,0,0,1,34,20,615,42,1,1,8,7,1,17,57,74,7,6,7,1,0
-80,241,1,1,0,0,60,0,1,221,1580,366,663,316,24,40,50,31,1,125,3210,3335,12,5,7,1,0.166666667
-22,240,1,1,1,0,60,0,0,232,19,160,615,108,32,49,56,7,19,29,652,681,5,3,2,1,0.4
-49,240,0,2,1,0,60,1,1,1021,1833,814,762,368,54,27,86,13,1,356,4795,5151,12,5,7,1,0.25
-54,241,1,1,1,0,60,0,1,971,1799,606,1450,242,192,28,0,7,1,82,5211,5293,9,4,4,1,0.444444444
-113,241,1,1,0,1,120,0,0,36,52,25,15,22,11,23,15,18,3,93,161,161,1,1,7,1,0
-56,261,0,1,1,0,60,0,1,295,1258,1065,615,1177,370,132,200,7,3,155,4422,4577,7,6,7,1,0.285714286
-112,262,0,2,0,0,120,0,1,41,13,15,152,19,1,4,0,7,1,16,13,29,5,5,5,0,0.6
-13,241,0,2,1,0,30,0,1,359,374,239,61,34,24,14,128,7,1,7,1085,1092,7,3,4,1,0
-24,269,0,4,0,0,90,0,1,457,70,411,924,132,101,21,0,7,1,83,2044,2127,9,4,4,1,0.444444444
-29,268,1,2,1,0,90,1,1,342,619,269,526,228,96,23,13,10,1,264,1878,2142,12,5,7,1,0.25
-52,268,1,2,0,0,60,0,0,591,4,2,175,23,3,125,372,7,53,6,2822,6,4,4,7,1,0
-24,241,1,1,1,0,30,0,1,83,558,145,106,25,23,14,128,7,1,25,915,940,9,3,6,1,0.111111111
-156,261,0,1,0,0,90,0,0,37,399,2,99,21,32,14,128,7,1,63,2,2,8,3,5,1,0
-75,268,0,2,0,0,60,0,1,269,1521,457,1175,349,40,40,35,41,1,170,3844,4014,12,5,7,1,0.083333333
-99,240,1,2,0,0,60,1,0,599,346,533,615,470,117,119,43,7,1,177,2098,2275,14,6,7,1,0.571428571
-50,269,1,2,0,0,60,0,1,589,1739,479,634,248,34,43,59,15,1,100,3788,3888,12,5,7,1,0
-44,269,1,1,0,0,60,0,1,1713,841,1033,168,73,24,63,355,7,53,527,3766,4293,4,4,7,1,0
-110,241,0,2,0,0,60,0,1,172,1208,398,191,61,156,100,516,7,53,23,2793,2816,4,4,7,1,0
-25,241,1,4,1,0,60,0,1,800,63,705,615,465,76,72,262,7,45,4,2456,2460,7,6,7,1,0.142857143
-245,240,0,2,0,1,120,0,0,50,124,105,615,91,29,7,29,7,4,9,439,448,9,4,5,1,0.555555556
-37,268,1,3,1,0,145,0,0,288,320,184,383,84,19,4,22,9,4,16,1304,1320,3,2,1,1,0.333333333
-35,268,1,2,1,0,60,0,1,2841,2158,1346,349,56,42,71,453,7,53,825,6499,7324,4,4,7,1,0
-29,268,1,3,1,0,60,0,0,86,5,31,4,3,3,5,0,0,1,23,135,135,2,2,5,0,0
